id|user_id|user_name|contributors|text|in_reply_to_status_id|favorite_count|coordinates|source|in_reply_to_screen_name|in_reply_to_user_id|is_retweet|retweet_count|geo|created_at|place
854186817595162625|815217621058523136|DebbieMayf||RT @LouiseMensch: Director Comey has the server Flynn and Kislyak transcripts. He won't need anything else AG Schneiderman has mone   ||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:21 +0000 2017|
854186818006372352|19288987|sandman2984||RT @mehdirhasan: Of course he did. Bet Trump wishes he could do a similar referendum in the U.S. https://t.co/GHOujZigNa||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186818551599104|18029310|mangobeach||RT @ABCPolitics: .@SenTomCotton booed by town hall crowd for answering question about Trump's taxes by saying he's still under audit   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186818346008576|19267427|barnes8544||RT @ananavarro: No statute makes Trump reveal taxes. Yes, this: Precedence; Transparency; Respect; Honesty; Openness; Trust; Confid   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186818136354816|746746582079516672|jesuisPaz||RT @MartinSantosR: ATENCI  N: Esto fue lo que le dijo @AndresPastrana_ al Pdte. Trump en reunion con @AlvaroUribeVel -RT! https://t.co/1qTug   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186818488741888|2444981826|ZachariaRisberg||RT @MrsScottBaio: COLLEGE POLICE CHIEF IN BERKELY WHO ORDERED COPS 2STAND DOWN &amp; ALLOW ANTIFA 2HURL HUGE ROCKS &amp; BRICKS @ TRUMP PEOPLE http   ||0||"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186819231129601|4852163069|mike4193496||Conservatives wanted Obama to fail because his policies were extremely anti-American. Liberals want Trump to fail because he's Donald Trump.||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186819256188928|253840687|LindaJStovall||RT @RVAwonk: 5. Republicans should not be struggling to win this election. It's a big deal that they are. Even Trump is worried abt it, as   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186819306573825|703276097434161152|hbdoucette2919||RT @MalcolmNance: America. Love it or leave it. Seems Moscow paid California separatists choose to move to Russian white supremacist   ||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186819205943296|2539848682|rayann2320||@BakedNorwegian #moldylocks is very dangerous ! Hope FBI looking for her !|854150573804974080|0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|BakedNorwegian|3424521514|False|0||Tue Apr 18 04:16:22 +0000 2017|
854186818992033796|15184162|HesNotTheStig||RT @jaynordlinger: That is disgusting. https://t.co/Fopvhwk9vj||0||"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186819407294465|385123185|IAmPaulVogel||Easter at the Trump White House: The Daily Show https://t.co/cz5omoE2dr||0||"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186818887192582|820288484116140034|JaimerPunk94||RT @ResistanceParty: In one tweet trump misspelled a word and lied 3 times. So basically something that happens on a day that ends 'Y.' htt   ||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186819528921088|890965488|jorgeandres2201||RT @AndresPastrana_: Sr @alfonsoprada   gestion   o recibi   usted aportes para la campa  a presidencial de @JuanManSantos 2014? https://t.co/w   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186819646304258|615038083|swimfunzo||@SenCoryGardner @VP Coward Cory, Pence' visit to the DMZ is nothing more than Wag the Dog, trying to deflect questi    https://t.co/ONc9qeP37g|854025879449726976|0||"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"|SenCoryGardner|235217558|False|0||Tue Apr 18 04:16:22 +0000 2017|
854186820179025920|3048482749|rueystokes_j||RT @funder: Russian billionaire-directly linked to Putin-said in an interview that his son met with Trump in America during the   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186820350988289|825600818|enriquepena10||RT @stultaviro: -Uribe se reuni   con Trump-  Ap  trida!   Traidor!-Pero el encuentro fue casual-  Mentiroso!   Embaucador!||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186820384559104|3356837416|suprdave11||RT @Pamela_Moore13: Get Trump to implement #TermLimits #MAGA          #DrainTheSwampRT IF YOU AGREE! https://t.co/p9VCR1EwM2||0||"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186820850069505|826506884647628805|bob_bobby234||RT @GemMar333: @moerwin @LeahR77 @SarahKSilverman Are you a #Soros Bot? Anyone who supports #Trump is called a putinbot...come up   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186821168885761|1969942304|BAPBABYTHAlLAND||RT @WayneDupreeShow: WHY HE ENDS UP ON TOP! Trump: I Just Don't Telegraph My Moves  https://t.co/VeMymQs1Rt #Feedly #TrumpTrain #Trump   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186821055647748|26930725|clptnfan||@miketodack @SigmaRoman @WTFisGoingOnDon @MyLiveStudioFB @tonyposnanski @realDonaldTrump Investigations were unfoun    https://t.co/1dNcOabnM8|854168534292869120|0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|miketodack|3129979918|False|0||Tue Apr 18 04:16:22 +0000 2017|
854186820556513280|24288388|barrettma||OMG https://t.co/bmu5htMlXo||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186820590022656|1007568727|loosepinz||RT @Anthony: Trump wasn't just congratulating an authoritarian on consolidating power, he was stroking a business partner... https://t.co/P   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:22 +0000 2017|
854186822238392320|23030548|shkp||"RT @joncoopertweets: A Trump supporter just attacked me by messaging ""Your an idiot Liberal moran."" I had to tell him that he spelled ""you'   "||0||"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186822154539009|2841723208|bat_in_the_hat||RT @stillgray: Responsible for the Cleveland Killer:- Trump- Video games- 2nd Amendment- Masculinity- RacismNot responsible:- The C   ||0||"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186822330712064|149281495|PalomaValenciaL||RT @SHOYOS: Intentar desesperadamente minimizar el encuentro de Uribe y Pastrana con Trump, demuestra que los tiene muy afectados.||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
854186822288539649|2441505218|SheHarrison||RT @FortuneMagazine: 'Buy American and hire American': Trump to seek changes to H-1B visa program to encourage hiring of Americans https://   ||0||"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|||False|0||Tue Apr 18 04:16:23 +0000 2017|
